token,20tokens
easy,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
listening,work:0.2 worship:0.2 best:0.16666666666666666 fun:0.16666666666666666 dancing:0.16666666666666666 lift:0.16666666666666666 congratulation:0.14285714285714285 making:0.14285714285714285 drive:0.14285714285714285 counting:0.14285714285714285 adventure:0.14285714285714285 riding:0.14285714285714285 volleyball:0.125 intro:0.125 calming:0.125 workout:0.125 fire:0.125 study:0.125 hop:0.125 basketball:0.125 
cancun,motown:0.3333333333333333 cali:0.3333333333333333 florence:0.3333333333333333 kobe:0.3333333333333333 santos:0.3333333333333333 portland:0.3333333333333333 rus:0.16666666666666666 fiji:0.16666666666666666 florida:0.14285714285714285 nc:0.14285714285714285 california:0.14285714285714285 ok:0.14285714285714285 fireside:0.125 hangout:0.125 top:0.1111111111111111 side:0.1111111111111111 track:0.1111111111111111 beat:0.1 beach:0.1 post:0.1 
fire,bonfire:0.5 wave:0.25 time:0.25 beep:0.25 hap:0.25 touch:0.25 throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 
frozen,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
gospel,play:0.2 lyric:0.16666666666666666 music:0.14285714285714285 flashback:0.14285714285714285 tune:0.125 people:0.125 classical:0.125 vocal:0.125 praise:0.125 space:0.125 throwback:0.1111111111111111 korean:0.1111111111111111 melancholy:0.1111111111111111 running:0.1111111111111111 good:0.1111111111111111 random:0.1111111111111111 80:0.1111111111111111 catchy:0.1111111111111111 song:0.1111111111111111 piano:0.1111111111111111 
16,sixteen:1.0 throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 
favorite,pick:0.5 throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 
worship,adore:0.5 work:0.3333333333333333 love:0.3333333333333333 best:0.25 fun:0.25 dancing:0.25 lift:0.25 throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 
purple,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
office,shop:0.25 house:0.16666666666666666 hotel:0.16666666666666666 classic:0.14285714285714285 paisley:0.14285714285714285 john:0.14285714285714285 road:0.14285714285714285 mine:0.14285714285714285 pool:0.14285714285714285 bedroom:0.14285714285714285 pill:0.14285714285714285 gym:0.125 dance:0.125 trap:0.125 rock:0.125 paint:0.125 movie:0.125 machine:0.125 shower:0.125 throwback:0.1111111111111111 
reception,hi:0.3333333333333333 praise:0.16666666666666666 music:0.14285714285714285 recommendation:0.14285714285714285 list:0.14285714285714285 tune:0.125 people:0.125 classical:0.125 playlist:0.125 vocal:0.125 space:0.125 throwback:0.1111111111111111 korean:0.1111111111111111 melancholy:0.1111111111111111 running:0.1111111111111111 good:0.1111111111111111 random:0.1111111111111111 rap:0.1111111111111111 80:0.1111111111111111 catchy:0.1111111111111111 
relax,throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 best:0.2 musical:0.2 old:0.2 
school,party:0.2 throwback:0.16666666666666666 korean:0.16666666666666666 melancholy:0.16666666666666666 running:0.16666666666666666 good:0.16666666666666666 random:0.16666666666666666 tune:0.16666666666666666 80:0.16666666666666666 catchy:0.16666666666666666 piano:0.16666666666666666 20:0.16666666666666666 go:0.16666666666666666 relaxing:0.16666666666666666 pop:0.16666666666666666 classic:0.16666666666666666 beat:0.16666666666666666 lit:0.16666666666666666 christian:0.16666666666666666 best:0.16666666666666666 
john,bedroom:0.3333333333333333 house:0.16666666666666666 hotel:0.16666666666666666 classic:0.14285714285714285 paisley:0.14285714285714285 office:0.14285714285714285 road:0.14285714285714285 mine:0.14285714285714285 pool:0.14285714285714285 pill:0.14285714285714285 gym:0.125 dance:0.125 trap:0.125 rock:0.125 paint:0.125 movie:0.125 machine:0.125 shop:0.125 shower:0.125 throwback:0.1111111111111111 
playlist,list:0.5 praise:0.14285714285714285 music:0.125 recommendation:0.125 reception:0.125 hi:0.125 tune:0.1111111111111111 people:0.1111111111111111 classical:0.1111111111111111 vocal:0.1111111111111111 space:0.1111111111111111 throwback:0.1 korean:0.1 melancholy:0.1 running:0.1 good:0.1 random:0.1 rap:0.1 80:0.1 catchy:0.1 
fall,go:0.5 ski:0.3333333333333333 summer:0.3333333333333333 ride:0.3333333333333333 spring:0.3333333333333333 throwback:0.25 korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 80:0.25 catchy:0.25 piano:0.25 20:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 lit:0.25 
nc,florida:0.3333333333333333 california:0.3333333333333333 ok:0.3333333333333333 rus:0.16666666666666666 fiji:0.16666666666666666 motown:0.14285714285714285 cali:0.14285714285714285 cancun:0.14285714285714285 florence:0.14285714285714285 kobe:0.14285714285714285 santos:0.14285714285714285 portland:0.14285714285714285 fireside:0.125 hangout:0.125 top:0.1111111111111111 side:0.1111111111111111 track:0.1111111111111111 beat:0.1 beach:0.1 post:0.1 
15,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
mix,throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 best:0.2 musical:0.2 old:0.2 
loco,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
groove,tear:0.2 lift:0.16666666666666666 throwback:0.14285714285714285 korean:0.14285714285714285 melancholy:0.14285714285714285 running:0.14285714285714285 good:0.14285714285714285 hit:0.14285714285714285 random:0.14285714285714285 80:0.14285714285714285 catchy:0.14285714285714285 piano:0.14285714285714285 20:0.14285714285714285 go:0.14285714285714285 relaxing:0.14285714285714285 pop:0.14285714285714285 classic:0.14285714285714285 beat:0.14285714285714285 lit:0.14285714285714285 christian:0.14285714285714285 
girl,woman:0.5 lady:0.3333333333333333 sarah:0.25 guy:0.2 modern:0.2 straight:0.2 closer:0.2 friend:0.2 throwback:0.16666666666666666 christian:0.16666666666666666 zombie:0.16666666666666666 superman:0.16666666666666666 kid:0.16666666666666666 romeo:0.16666666666666666 korean:0.14285714285714285 taylor:0.14285714285714285 drug:0.14285714285714285 female:0.14285714285714285 thai:0.14285714285714285 tagalog:0.14285714285714285 
power,bad:0.3333333333333333 vibe:0.25 space:0.25 good:0.2 concentration:0.2 throwback:0.16666666666666666 korean:0.16666666666666666 melancholy:0.16666666666666666 running:0.16666666666666666 random:0.16666666666666666 80:0.16666666666666666 catchy:0.16666666666666666 piano:0.16666666666666666 20:0.16666666666666666 go:0.16666666666666666 relaxing:0.16666666666666666 pop:0.16666666666666666 classic:0.16666666666666666 beat:0.16666666666666666 lit:0.16666666666666666 
fireside,hangout:0.3333333333333333 top:0.16666666666666666 side:0.16666666666666666 track:0.16666666666666666 beat:0.14285714285714285 beach:0.14285714285714285 post:0.14285714285714285 rus:0.14285714285714285 fiji:0.14285714285714285 holy:0.14285714285714285 island:0.14285714285714285 florida:0.125 motown:0.125 cali:0.125 rock:0.125 cancun:0.125 nc:0.125 california:0.125 ok:0.125 florence:0.125 
reggae,music:0.25 classical:0.25 tune:0.2 vocal:0.2 song:0.16666666666666666 oldie:0.14285714285714285 people:0.125 flashback:0.125 praise:0.125 space:0.125 throwback:0.1111111111111111 korean:0.1111111111111111 melancholy:0.1111111111111111 running:0.1111111111111111 good:0.1111111111111111 random:0.1111111111111111 80:0.1111111111111111 catchy:0.1111111111111111 piano:0.1111111111111111 20:0.1111111111111111 
list,playlist:0.5 praise:0.16666666666666666 throwback:0.14285714285714285 korean:0.14285714285714285 melancholy:0.14285714285714285 running:0.14285714285714285 good:0.14285714285714285 random:0.14285714285714285 80:0.14285714285714285 catchy:0.14285714285714285 piano:0.14285714285714285 20:0.14285714285714285 go:0.14285714285714285 relaxing:0.14285714285714285 pop:0.14285714285714285 classic:0.14285714285714285 beat:0.14285714285714285 lit:0.14285714285714285 music:0.14285714285714285 christian:0.14285714285714285 
senior,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
year,morning:0.3333333333333333 summer:0.25 christmas:0.25 afternoon:0.25 fall:0.25 spring:0.25 may:0.2 nov:0.2 november:0.2 september:0.2 halloween:0.2 mar:0.2 chill:0.16666666666666666 go:0.16666666666666666 friday:0.16666666666666666 saturday:0.16666666666666666 sunday:0.16666666666666666 day:0.16666666666666666 people:0.14285714285714285 little:0.14285714285714285 
taylor,woman:0.16666666666666666 guy:0.14285714285714285 modern:0.14285714285714285 girl:0.14285714285714285 straight:0.14285714285714285 closer:0.14285714285714285 friend:0.14285714285714285 lady:0.14285714285714285 throwback:0.125 sarah:0.125 christian:0.125 zombie:0.125 superman:0.125 kid:0.125 disney:0.125 romeo:0.125 korean:0.1111111111111111 drug:0.1111111111111111 female:0.1111111111111111 thai:0.1111111111111111 
swift,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
upbeat,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
superman,modern:0.25 straight:0.25 closer:0.25 friend:0.25 throwback:0.2 christian:0.2 zombie:0.2 woman:0.2 kid:0.2 romeo:0.2 bruno:0.2 korean:0.16666666666666666 guy:0.16666666666666666 girl:0.16666666666666666 drug:0.16666666666666666 female:0.16666666666666666 thai:0.16666666666666666 tagalog:0.16666666666666666 latino:0.16666666666666666 lady:0.16666666666666666 
kendall,modern:0.16666666666666666 straight:0.16666666666666666 closer:0.16666666666666666 friend:0.16666666666666666 throwback:0.14285714285714285 christian:0.14285714285714285 mayer:0.14285714285714285 zombie:0.14285714285714285 woman:0.14285714285714285 superman:0.14285714285714285 kid:0.14285714285714285 romeo:0.14285714285714285 korean:0.125 guy:0.125 girl:0.125 drug:0.125 female:0.125 thai:0.125 tagalog:0.125 latino:0.125 
punk,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
run,go:0.3333333333333333 ski:0.25 ride:0.25 fall:0.25 throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 
electric,car:0.5 throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 
love,adore:0.5 throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 
obsession,wanderlust:0.2 people:0.14285714285714285 fire:0.14285714285714285 space:0.14285714285714285 throwback:0.125 korean:0.125 melancholy:0.125 running:0.125 good:0.125 random:0.125 80:0.125 catchy:0.125 piano:0.125 20:0.125 go:0.125 relaxing:0.125 pop:0.125 classic:0.125 beat:0.125 lit:0.125 
nov,november:1.0 may:0.3333333333333333 september:0.3333333333333333 mar:0.3333333333333333 year:0.2 morning:0.2 summer:0.16666666666666666 christmas:0.16666666666666666 afternoon:0.16666666666666666 fall:0.16666666666666666 spring:0.16666666666666666 halloween:0.14285714285714285 chill:0.125 go:0.125 friday:0.125 saturday:0.125 sunday:0.125 day:0.125 people:0.1111111111111111 little:0.1111111111111111 
beach,throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 best:0.2 musical:0.2 old:0.2 
alt,lean:0.25 people:0.14285714285714285 stuff:0.14285714285714285 space:0.14285714285714285 throwback:0.125 korean:0.125 melancholy:0.125 running:0.125 good:0.125 random:0.125 80:0.125 catchy:0.125 piano:0.125 20:0.125 go:0.125 relaxing:0.125 pop:0.125 classic:0.125 beat:0.125 lit:0.125 
rob,throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 best:0.2 musical:0.2 old:0.2 
40th,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
tailgate,go:0.3333333333333333 ski:0.25 ride:0.25 fall:0.25 throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 
track,throwback:0.25 korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 80:0.25 catchy:0.25 piano:0.25 20:0.25 go:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 lit:0.25 christian:0.25 best:0.25 musical:0.25 old:0.25 
drug,acoustic:0.25 throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 best:0.2 musical:0.2 
adore,worship:0.5 love:0.5 throwback:0.25 korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 80:0.25 catchy:0.25 piano:0.25 20:0.25 go:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 lit:0.25 christian:0.25 best:0.25 
wanderlust,obsession:0.2 people:0.14285714285714285 fire:0.14285714285714285 space:0.14285714285714285 throwback:0.125 korean:0.125 melancholy:0.125 running:0.125 good:0.125 random:0.125 80:0.125 catchy:0.125 piano:0.125 20:0.125 go:0.125 relaxing:0.125 pop:0.125 classic:0.125 beat:0.125 lit:0.125 
saturday,friday:0.3333333333333333 sunday:0.2 year:0.16666666666666666 morning:0.16666666666666666 halloween:0.16666666666666666 summer:0.14285714285714285 christmas:0.14285714285714285 afternoon:0.14285714285714285 fall:0.14285714285714285 spring:0.14285714285714285 may:0.125 nov:0.125 november:0.125 september:0.125 xmas:0.125 mar:0.125 chill:0.1111111111111111 go:0.1111111111111111 day:0.1111111111111111 people:0.1 
morning,year:0.3333333333333333 summer:0.25 christmas:0.25 afternoon:0.25 fall:0.25 spring:0.25 may:0.2 nov:0.2 november:0.2 september:0.2 halloween:0.2 mar:0.2 chill:0.16666666666666666 go:0.16666666666666666 friday:0.16666666666666666 saturday:0.16666666666666666 sunday:0.16666666666666666 day:0.16666666666666666 people:0.14285714285714285 little:0.14285714285714285 
hotel,house:0.3333333333333333 classic:0.16666666666666666 paisley:0.16666666666666666 office:0.16666666666666666 john:0.16666666666666666 road:0.16666666666666666 mine:0.16666666666666666 pool:0.16666666666666666 bedroom:0.16666666666666666 pill:0.16666666666666666 gym:0.14285714285714285 dance:0.14285714285714285 trap:0.14285714285714285 rock:0.14285714285714285 paint:0.14285714285714285 movie:0.14285714285714285 machine:0.14285714285714285 shop:0.14285714285714285 shower:0.14285714285714285 throwback:0.125 
california,florida:0.3333333333333333 nc:0.3333333333333333 ok:0.3333333333333333 rus:0.16666666666666666 fiji:0.16666666666666666 motown:0.14285714285714285 cali:0.14285714285714285 cancun:0.14285714285714285 florence:0.14285714285714285 kobe:0.14285714285714285 santos:0.14285714285714285 portland:0.14285714285714285 fireside:0.125 hangout:0.125 top:0.1111111111111111 side:0.1111111111111111 track:0.1111111111111111 beat:0.1 beach:0.1 post:0.1 
counting,countdown:0.5 work:0.3333333333333333 study:0.25 worship:0.2 adventure:0.2 best:0.16666666666666666 fun:0.16666666666666666 dancing:0.16666666666666666 workout:0.16666666666666666 lift:0.16666666666666666 congratulation:0.14285714285714285 making:0.14285714285714285 drive:0.14285714285714285 listening:0.14285714285714285 riding:0.14285714285714285 volleyball:0.125 intro:0.125 calming:0.125 fire:0.125 hop:0.125 
crow,kid:0.14285714285714285 wave:0.125 smile:0.125 baby:0.1111111111111111 take:0.1111111111111111 time:0.1111111111111111 female:0.1111111111111111 throwback:0.1 korean:0.1 melancholy:0.1 running:0.1 good:0.1 random:0.1 80:0.1 catchy:0.1 jam:0.1 piano:0.1 guy:0.1 20:0.1 go:0.1 
dump,throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 best:0.2 musical:0.2 old:0.2 
slow,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
ok,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 florida:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 
paint,stuff:0.3333333333333333 take:0.25 throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 best:0.2 
glee,pleasure:0.2 mood:0.2 melancholy:0.16666666666666666 love:0.16666666666666666 angst:0.14285714285714285 dark:0.14285714285714285 atmosphere:0.14285714285714285 happiness:0.14285714285714285 nostalgia:0.14285714285714285 life:0.14285714285714285 space:0.14285714285714285 raw:0.125 power:0.125 sleep:0.125 bad:0.125 concentration:0.125 vibe:0.1111111111111111 old:0.1111111111111111 people:0.1111111111111111 high:0.1111111111111111 
cast,band:0.25 lift:0.25 throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 hit:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 
goody,jam:0.2 coffee:0.2 mix:0.16666666666666666 drug:0.16666666666666666 stuff:0.14285714285714285 salsa:0.125 metal:0.125 snowflake:0.125 sauce:0.125 as:0.125 h:0.125 throwback:0.1111111111111111 korean:0.1111111111111111 melancholy:0.1111111111111111 running:0.1111111111111111 good:0.1111111111111111 tb:0.1111111111111111 sb:0.1111111111111111 random:0.1111111111111111 80:0.1111111111111111 
know,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
road,broadway:0.25 classic:0.2 paisley:0.2 mine:0.2 pool:0.2 pill:0.2 gym:0.16666666666666666 dance:0.16666666666666666 trap:0.16666666666666666 rock:0.16666666666666666 house:0.16666666666666666 hotel:0.16666666666666666 paint:0.16666666666666666 movie:0.16666666666666666 machine:0.16666666666666666 shower:0.16666666666666666 throwback:0.14285714285714285 ski:0.14285714285714285 bus:0.14285714285714285 musical:0.14285714285714285 
trip,dance:0.3333333333333333 traveling:0.3333333333333333 ride:0.3333333333333333 turn:0.3333333333333333 spring:0.3333333333333333 throwback:0.25 korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 80:0.25 catchy:0.25 piano:0.25 20:0.25 go:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 
straight,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
band,brad:0.25 people:0.25 party:0.25 cast:0.25 men:0.2 sick:0.2 lost:0.2 country:0.16666666666666666 school:0.16666666666666666 post:0.16666666666666666 space:0.16666666666666666 throwback:0.14285714285714285 korean:0.14285714285714285 melancholy:0.14285714285714285 running:0.14285714285714285 good:0.14285714285714285 random:0.14285714285714285 80:0.14285714285714285 catchy:0.14285714285714285 piano:0.14285714285714285 
nostalgic,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 
mine,pool:0.3333333333333333 throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 best:0.2 musical:0.2 
